attendance,study_hours,previous_marks,assignment_scores,internal_scores,performs_well
86.0,5.9,86.0,81.7,58.5,1
78.3,7.8,78.9,61.7,66.0,1
87.8,1.2,65.9,57.7,56.9,0
98.3,5.1,55.3,69.9,63.7,1
77.2,2.7,75.5,67.4,41.5,0
77.2,3.0,70.9,63.2,71.0,0
99.0,2.8,78.4,80.4,68.0,1
89.2,2.3,74.5,84.3,56.6,1
74.4,4.1,80.7,71.3,77.2,0
86.5,2.3,57.0,92.2,81.1,0
74.4,4.5,84.8,52.9,45.5,1
74.4,3.9,68.0,67.1,57.3,1
82.9,3.5,96.1,59.2,57.2,1
57.0,2.2,54.7,42.0,54.8,0
59.3,2.8,91.0,68.8,79.6,1
73.3,5.5,68.0,68.2,65.3,1
67.8,5.0,55.2,92.7,64.3,1
83.8,2.0,57.7,79.5,39.9,0
69.1,4.2,60.2,54.6,76.9,0
63.1,5.5,71.4,97.8,50.7,0
97.6,0.7,72.8,88.3,68.8,1
77.3,5.1,56.4,78.7,71.9,1
80.8,2.7,64.6,66.6,87.0,1
62.9,5.1,97.1,55.6,49.7,1
73.5,2.5,90.9,64.4,25.7,1
81.3,0.4,71.5,86.3,70.6,1
66.2,0.7,65.6,98.3,93.2,1
84.5,4.1,66.8,93.1,85.3,1
72.8,4.5,74.2,62.7,70.9,1
76.5,2.2,49.7,53.2,61.1,0
72.8,5.3,61.1,72.1,79.3,1
100.0,0.7,40.0,43.5,54.4,0
79.8,3.9,71.0,74.8,74.7,1
67.3,1.6,74.7,67.8,75.1,0
89.9,2.7,57.8,63.0,82.8,0
65.3,4.1,88.6,46.1,100.0,1
82.5,2.3,46.6,77.7,73.5,1
56.5,3.2,43.0,62.0,60.9,0
64.1,6.0,68.4,52.5,67.6,0
82.4,2.8,80.7,26.9,43.2,0
88.9,5.7,90.3,69.6,58.3,1
82.1,1.7,58.1,96.6,62.3,0
78.6,5.1,81.2,94.9,60.7,1
76.4,6.9,64.4,63.1,70.1,1
62.3,0.0,62.4,61.0,56.5,0
71.4,2.4,78.3,77.0,83.7,1
74.5,5.2,74.8,55.0,68.0,0
92.7,3.6,41.4,74.5,67.9,0
84.1,4.7,87.1,81.5,63.4,1
58.8,2.8,85.7,88.4,70.2,1
83.9,4.2,55.6,68.5,79.6,0
75.4,3.7,70.9,66.9,55.9,0
71.9,6.3,72.4,56.8,58.8,1
87.3,4.5,68.9,57.6,63.7,1
92.4,4.7,56.7,66.6,49.2,0
91.2,3.2,54.9,75.5,56.5,1
69.9,3.0,64.6,83.7,61.3,0
76.3,3.1,82.6,58.0,80.2,1
84.0,4.8,73.2,92.4,71.7,1
91.7,3.2,59.4,65.9,70.7,1
74.2,4.6,76.6,69.7,79.9,1
77.8,8.2,22.3,58.8,66.1,0
66.7,5.7,82.2,33.6,73.5,0
65.6,3.3,38.9,83.3,66.6,0
89.8,6.4,59.6,81.1,71.7,1
96.3,3.2,48.2,65.8,59.8,0
79.1,0.0,45.6,71.0,33.9,0
92.0,2.0,82.4,77.7,66.1,1
84.3,0.3,58.0,46.6,87.9,0
72.3,3.3,70.2,62.1,81.0,0
84.3,4.0,64.3,81.9,81.5,1
98.5,7.4,72.2,51.2,85.3,1
79.6,4.7,66.2,74.4,69.2,1
98.8,3.6,45.8,49.7,70.8,0
48.6,5.7,79.9,77.0,59.4,1
89.9,0.0,57.6,69.5,63.6,0
81.0,4.5,41.7,45.8,76.6,1
76.4,5.5,58.6,87.5,84.9,1
81.1,1.0,87.5,59.0,66.0,1
56.1,6.3,77.8,57.8,61.7,1
77.4,4.7,59.8,73.0,68.0,1
84.3,3.2,59.8,87.2,76.4,1
97.7,5.3,60.2,54.8,47.8,1
73.8,8.5,96.2,70.9,35.9,1
70.3,4.4,70.7,76.4,60.3,1
74.0,4.5,71.5,80.4,50.9,0
91.0,3.1,80.5,72.6,60.9,0
83.9,2.3,68.6,64.5,65.9,0
73.6,5.7,61.1,57.6,61.7,0
86.2,2.3,62.1,71.3,88.3,1
81.2,4.1,63.9,53.9,72.6,1
91.6,3.0,64.4,26.2,72.2,0
71.6,5.0,75.9,76.5,76.7,1
76.1,4.7,65.8,83.6,52.1,1
75.3,6.1,76.0,34.6,82.5,1
62.4,3.0,63.8,54.9,66.9,0
83.6,3.5,66.2,79.3,77.4,1
